
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SUBOTOVSKYIOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
NAKONECHNOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KV-LAPTOP-05OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
STMOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KH-GIS-PROXYOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KH-GIS-PROXYOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KIZYAN-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KIZYAN-LTOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
DUDACHIN2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
DUDACHIN2OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
KWSUSOS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SPODLESNAYA1OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SPODLESNAYA1OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
SPODLESNAYA1OS	- Microsoft Windows 10 Pro,MainBoard - PRIME B360M-A ASUSTeK COMPUTER INC.,CPU - Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz Intel64 Family 6 Model 158 Stepping 10,Memory - ,Drives - Samsung SSD 860 EVO 500GB,Video - Intel(R) UHD Graphics 630
